external_fulfiller_location_id,internal_fulfiller_location_id,bin_name,bin_type,bin_status
600,54802,3280404,General,Pickable
600,54802,3280405,General,Pickable
600,54802,3290101,General,Pickable
600,54802,3290102,General,Pickable
600,54802,3290103,General,Pickable
600,54802,3290104,General,Pickable
600,54802,3290105,General,Pickable
600,54802,3290201,General,Pickable
600,54802,3290202,General,Pickable
600,54802,3290203,General,Pickable
600,54802,3290204,General,Pickable
600,54802,3290205,General,Pickable
600,54802,3290301,General,Pickable
600,54802,3290302,General,Pickable
600,54802,3290303,General,Pickable
600,54802,3290304,General,Pickable
600,54802,3290305,General,Pickable
600,54802,3290401,General,Pickable
600,54802,3290402,General,Pickable
600,54802,3290403,General,Pickable
600,54802,3290404,General,Pickable
600,54802,3290405,General,Pickable
600,54802,3300101,General,Pickable
600,54802,3300102,General,Pickable
600,54802,3300103,General,Pickable
600,54802,3300104,General,Pickable
600,54802,3300105,General,Pickable
600,54802,3300201,General,Pickable
600,54802,3300202,General,Pickable
600,54802,3300203,General,Pickable
600,54802,3300204,General,Pickable
600,54802,3300205,General,Pickable
600,54802,3300301,General,Pickable
600,54802,3300302,General,Pickable
600,54802,3300303,General,Pickable
600,54802,3300304,General,Pickable
600,54802,3300305,General,Pickable
600,54802,3300401,General,Pickable
600,54802,3300402,General,Pickable
600,54802,3300403,General,Pickable
600,54802,3300404,General,Pickable
600,54802,3300405,General,Pickable
600,54802,3310101,General,Pickable
600,54802,3310102,General,Pickable
600,54802,3310103,General,Pickable
600,54802,3310104,General,Pickable
600,54802,3310105,General,Pickable
600,54802,3310201,General,Pickable
600,54802,3310202,General,Pickable
600,54802,3310203,General,Pickable
600,54802,3310204,General,Pickable
600,54802,3310205,General,Pickable
600,54802,3310301,General,Pickable
600,54802,3310302,General,Pickable
600,54802,3310303,General,Pickable
600,54802,3310304,General,Pickable
600,54802,3310305,General,Pickable
600,54802,3310401,General,Pickable
600,54802,3310402,General,Pickable
600,54802,3310403,General,Pickable
600,54802,3310404,General,Pickable
600,54802,3310405,General,Pickable
600,54802,3320101,General,Pickable
600,54802,3320102,General,Pickable
600,54802,3320103,General,Pickable
600,54802,3320104,General,Pickable
600,54802,3320105,General,Pickable
600,54802,3320201,General,Pickable
600,54802,3320202,General,Pickable
600,54802,3320203,General,Pickable
600,54802,3320204,General,Pickable
600,54802,3320205,General,Pickable
600,54802,3320301,General,Pickable
600,54802,3320302,General,Pickable
600,54802,3320303,General,Pickable
600,54802,3320304,General,Pickable
600,54802,3320305,General,Pickable
600,54802,3320401,General,Pickable
600,54802,3320402,General,Pickable
600,54802,3320403,General,Pickable
600,54802,3320404,General,Pickable
600,54802,3320405,General,Pickable
600,54802,3330101,General,Pickable
600,54802,3330102,General,Pickable
600,54802,3330103,General,Pickable
600,54802,3330104,General,Pickable
600,54802,3330105,General,Pickable
600,54802,3330201,General,Pickable
600,54802,3330202,General,Pickable
600,54802,3330203,General,Pickable
600,54802,3330204,General,Pickable
600,54802,3330205,General,Pickable
600,54802,3330301,General,Pickable
600,54802,3330302,General,Pickable
600,54802,3330303,General,Pickable
600,54802,3330304,General,Pickable
600,54802,3330305,General,Pickable
600,54802,3330401,General,Pickable
600,54802,3330402,General,Pickable
600,54802,3330403,General,Pickable
600,54802,3330404,General,Pickable
600,54802,3330405,General,Pickable
600,54802,3340101,General,Pickable
600,54802,3340102,General,Pickable
600,54802,3340103,General,Pickable
600,54802,3340104,General,Pickable
600,54802,3340105,General,Pickable
600,54802,3340201,General,Pickable
600,54802,3340202,General,Pickable
600,54802,3340203,General,Pickable
600,54802,3340204,General,Pickable
600,54802,3340205,General,Pickable
600,54802,3340301,General,Pickable
600,54802,3340302,General,Pickable
600,54802,3340303,General,Pickable
600,54802,3340304,General,Pickable
600,54802,3340305,General,Pickable
600,54802,3340401,General,Pickable
600,54802,3340402,General,Pickable
600,54802,3340403,General,Pickable
600,54802,3340404,General,Pickable
600,54802,3340405,General,Pickable
600,54802,3350101,General,Pickable
600,54802,3350102,General,Pickable
600,54802,3350103,General,Pickable
600,54802,3350104,General,Pickable
600,54802,3350105,General,Pickable
600,54802,3350201,General,Pickable
600,54802,3350202,General,Pickable
600,54802,3350203,General,Pickable
600,54802,3350204,General,Pickable
600,54802,3350205,General,Pickable
600,54802,3350301,General,Pickable
600,54802,3350302,General,Pickable
600,54802,3350303,General,Pickable
600,54802,3350304,General,Pickable
600,54802,3350305,General,Pickable
600,54802,3350401,General,Pickable
600,54802,3350402,General,Pickable
600,54802,3350403,General,Pickable
600,54802,3350404,General,Pickable
600,54802,3350405,General,Pickable
600,54802,3360101,General,Pickable
600,54802,3360102,General,Pickable
600,54802,3360103,General,Pickable
600,54802,3360104,General,Pickable
600,54802,3360105,General,Pickable
600,54802,3360201,General,Pickable
600,54802,3360202,General,Pickable
600,54802,3360203,General,Pickable
600,54802,3360204,General,Pickable
600,54802,3360205,General,Pickable
600,54802,3360301,General,Pickable
600,54802,3360302,General,Pickable
600,54802,3360303,General,Pickable
600,54802,3360304,General,Pickable
600,54802,3360305,General,Pickable
600,54802,3360401,General,Pickable
600,54802,3360402,General,Pickable
600,54802,3360403,General,Pickable
600,54802,3360404,General,Pickable
600,54802,3360405,General,Pickable
600,54802,4010101,General,Pickable
600,54802,4010102,General,Pickable
600,54802,4010103,General,Pickable
600,54802,4010104,General,Pickable
600,54802,4010105,General,Pickable
600,54802,4010201,General,Pickable
600,54802,4010202,General,Pickable
600,54802,4010203,General,Pickable
600,54802,4010204,General,Pickable
600,54802,4010205,General,Pickable
600,54802,4010301,General,Pickable
600,54802,4010302,General,Pickable
600,54802,4010303,General,Pickable
600,54802,4010304,General,Pickable
600,54802,4010305,General,Pickable
600,54802,4010401,General,Pickable
600,54802,4010402,General,Pickable
600,54802,4010403,General,Pickable
600,54802,4010404,General,Pickable
600,54802,4010405,General,Pickable
600,54802,4020101,General,Pickable
600,54802,4020102,General,Pickable
600,54802,4020103,General,Pickable
600,54802,4020104,General,Pickable
600,54802,4020105,General,Pickable
600,54802,4020201,General,Pickable
600,54802,4020202,General,Pickable
600,54802,4020203,General,Pickable
600,54802,4020204,General,Pickable
600,54802,4020205,General,Pickable
600,54802,4020301,General,Pickable
600,54802,4020302,General,Pickable
600,54802,4020303,General,Pickable
600,54802,4020304,General,Pickable
600,54802,4020305,General,Pickable
600,54802,4020401,General,Pickable
600,54802,4020402,General,Pickable
600,54802,4020403,General,Pickable
600,54802,4020404,General,Pickable
600,54802,4020405,General,Pickable
600,54802,4030101,General,Pickable
600,54802,4030102,General,Pickable
600,54802,4030103,General,Pickable
600,54802,4030104,General,Pickable
600,54802,4030105,General,Pickable
600,54802,4030201,General,Pickable
600,54802,4030202,General,Pickable
600,54802,4030203,General,Pickable
600,54802,4030204,General,Pickable
600,54802,4030205,General,Pickable
600,54802,4030301,General,Pickable
600,54802,4030302,General,Pickable
600,54802,4030303,General,Pickable
600,54802,4030304,General,Pickable
600,54802,4030305,General,Pickable
600,54802,4030401,General,Pickable
600,54802,4030402,General,Pickable
600,54802,4030403,General,Pickable
600,54802,4030404,General,Pickable
600,54802,4030405,General,Pickable
600,54802,4040101,General,Pickable
600,54802,4040102,General,Pickable
600,54802,4040103,General,Pickable
600,54802,4040104,General,Pickable
600,54802,4040105,General,Pickable
600,54802,4040201,General,Pickable
600,54802,4040202,General,Pickable
600,54802,4040203,General,Pickable
600,54802,4040204,General,Pickable
600,54802,4040205,General,Pickable
600,54802,4040301,General,Pickable
600,54802,4040302,General,Pickable
600,54802,4040303,General,Pickable
600,54802,4040304,General,Pickable
600,54802,4040305,General,Pickable
600,54802,4040401,General,Pickable
600,54802,4040402,General,Pickable
600,54802,4040403,General,Pickable
600,54802,4040404,General,Pickable
600,54802,4040405,General,Pickable
600,54802,4050101,General,Pickable
600,54802,4050102,General,Pickable
600,54802,4050103,General,Pickable
600,54802,4050104,General,Pickable
600,54802,4050105,General,Pickable
600,54802,4050201,General,Pickable
600,54802,4050202,General,Pickable
600,54802,4050203,General,Pickable
600,54802,4050204,General,Pickable
600,54802,4050205,General,Pickable
600,54802,4050301,General,Pickable
600,54802,4050302,General,Pickable
600,54802,4050303,General,Pickable
600,54802,4050304,General,Pickable
600,54802,4050305,General,Pickable
600,54802,4050401,General,Pickable
600,54802,4050402,General,Pickable
600,54802,4050403,General,Pickable
600,54802,4050404,General,Pickable
600,54802,4050405,General,Pickable
600,54802,4060101,General,Pickable
600,54802,4060102,General,Pickable
600,54802,4060103,General,Pickable
600,54802,4060104,General,Pickable
600,54802,4060105,General,Pickable
600,54802,4060201,General,Pickable
600,54802,4060202,General,Pickable
600,54802,4060203,General,Pickable
600,54802,4060204,General,Pickable
600,54802,4060205,General,Pickable
600,54802,4060301,General,Pickable
600,54802,4060302,General,Pickable
600,54802,4060303,General,Pickable
600,54802,4060304,General,Pickable
600,54802,4060305,General,Pickable
600,54802,4060401,General,Pickable
600,54802,4060402,General,Pickable
600,54802,4060403,General,Pickable
600,54802,4060404,General,Pickable
600,54802,4060405,General,Pickable
600,54802,4070101,General,Pickable
600,54802,4070102,General,Pickable
600,54802,4070103,General,Pickable
600,54802,4070104,General,Pickable
600,54802,4070105,General,Pickable
600,54802,4070201,General,Pickable
600,54802,4070202,General,Pickable
600,54802,4070203,General,Pickable
600,54802,4070204,General,Pickable
600,54802,4070205,General,Pickable
600,54802,4070301,General,Pickable
600,54802,4070302,General,Pickable
600,54802,4070303,General,Pickable
600,54802,4070304,General,Pickable
600,54802,4070305,General,Pickable
600,54802,4070401,General,Pickable
600,54802,4070402,General,Pickable
600,54802,4070403,General,Pickable
600,54802,4070404,General,Pickable
600,54802,4070405,General,Pickable
600,54802,4080101,General,Pickable
600,54802,4080102,General,Pickable
600,54802,4080103,General,Pickable
600,54802,4080104,General,Pickable
600,54802,4080105,General,Pickable
600,54802,4080201,General,Pickable
600,54802,4080202,General,Pickable
600,54802,4080203,General,Pickable
600,54802,4080204,General,Pickable
600,54802,4080205,General,Pickable
600,54802,4080301,General,Pickable
600,54802,4080302,General,Pickable
600,54802,4080303,General,Pickable
600,54802,4080304,General,Pickable
600,54802,4080305,General,Pickable
600,54802,4080401,General,Pickable
600,54802,4080402,General,Pickable
600,54802,4080403,General,Pickable
600,54802,4080404,General,Pickable
600,54802,4080405,General,Pickable
600,54802,4090101,General,Pickable
600,54802,4090102,General,Pickable
600,54802,4090103,General,Pickable
600,54802,4090104,General,Pickable
600,54802,4090105,General,Pickable
600,54802,4090201,General,Pickable
600,54802,4090202,General,Pickable
600,54802,4090203,General,Pickable
600,54802,4090204,General,Pickable
600,54802,4090205,General,Pickable
600,54802,4090301,General,Pickable
600,54802,4090302,General,Pickable
600,54802,4090303,General,Pickable
600,54802,4090304,General,Pickable
600,54802,4090305,General,Pickable
600,54802,4090401,General,Pickable
600,54802,4090402,General,Pickable
600,54802,4090403,General,Pickable
600,54802,4090404,General,Pickable
600,54802,4090405,General,Pickable
600,54802,4100101,General,Pickable
600,54802,4100102,General,Pickable
600,54802,4100103,General,Pickable
600,54802,4100104,General,Pickable
600,54802,4100105,General,Pickable
600,54802,4100201,General,Pickable
600,54802,4100202,General,Pickable
600,54802,4100203,General,Pickable
600,54802,4100204,General,Pickable
600,54802,4100205,General,Pickable
600,54802,4100301,General,Pickable
600,54802,4100302,General,Pickable
600,54802,4100303,General,Pickable
600,54802,4100304,General,Pickable
600,54802,4100305,General,Pickable
600,54802,4100401,General,Pickable
600,54802,4100402,General,Pickable
600,54802,4100403,General,Pickable
600,54802,4100404,General,Pickable
600,54802,4100405,General,Pickable
600,54802,4110101,General,Pickable
600,54802,4110102,General,Pickable
600,54802,4110103,General,Pickable
600,54802,4110104,General,Pickable
600,54802,4110105,General,Pickable
600,54802,4110201,General,Pickable
600,54802,4110202,General,Pickable
600,54802,4110203,General,Pickable
600,54802,4110204,General,Pickable
600,54802,4110205,General,Pickable
600,54802,4110301,General,Pickable
600,54802,4110302,General,Pickable
600,54802,4110303,General,Pickable
600,54802,4110304,General,Pickable
600,54802,4110305,General,Pickable
600,54802,4110401,General,Pickable
600,54802,4110402,General,Pickable
600,54802,4110403,General,Pickable
